#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	ec	KO	GO	Best-hit-chlamy-name	chlamy-symbol	chlamy-defline	Best-hit-arabi-name	arabi-symbol	arabi-defline	Best-hit-rice-name	rice-symbol	rice-defline
33725633	Brdisv1ABR21000019m.g	Brdisv1ABR21000019m	Brdisv1ABR21000019m.p	PF00566	PTHR22957,PTHR22957:SF273	KOG2197				Cre12.g537750.t1.2	g13224.t1,Cre12.g537750.t1.1		AT4G27100.1		Ypt/Rab-GAP domain of gyp1p superfamily protein	LOC_Os11g37690.1		TBC domain containing protein, expressed
33725634	Brdisv1ABR21000019m.g	Brdisv1ABR21000020m	Brdisv1ABR21000020m.p	PF00566	PTHR22957,PTHR22957:SF273	KOG2197				Cre12.g537750.t1.2	g13224.t1,Cre12.g537750.t1.1		AT5G54780.1		Ypt/Rab-GAP domain of gyp1p superfamily protein	LOC_Os11g37690.1		TBC domain containing protein, expressed
33725635	Brdisv1ABR21000019m.g	Brdisv1ABR21000021m	Brdisv1ABR21000021m.p	PF00566	PTHR22957,PTHR22957:SF273	KOG2197				Cre17.g715400.t1.1	g17318.t1		AT5G54780.1		Ypt/Rab-GAP domain of gyp1p superfamily protein	LOC_Os11g37690.1		TBC domain containing protein, expressed
33734822	Brdisv1ABR21000024m.g	Brdisv1ABR21000022m	Brdisv1ABR21000022m.p	PF08370,PF00005,PF01061	PTHR19241,PTHR19241:SF214		3.6.3.44		GO:0016887,GO:0005524,GO:0016020	Cre16.g655450.t1.1	g15845.t1		AT1G66950.1	ATPDR11,PDR11	pleiotropic drug resistance 11	LOC_Os11g37700.1		pleiotropic drug resistance protein, putative, expressed
33734823	Brdisv1ABR21000024m.g	Brdisv1ABR21000023m	Brdisv1ABR21000023m.p	PF08370,PF00005,PF01061	PTHR19241,PTHR19241:SF214		3.6.3.44		GO:0016887,GO:0005524,GO:0016020	Cre16.g655450.t1.1	g15845.t1		AT1G66950.1	ATPDR11,PDR11	pleiotropic drug resistance 11	LOC_Os11g37700.1		pleiotropic drug resistance protein, putative, expressed
33734821	Brdisv1ABR21000024m.g	Brdisv1ABR21000024m	Brdisv1ABR21000024m.p	PF14510,PF08370,PF00005,PF01061	PTHR19241,PTHR19241:SF214		3.6.3.44		GO:0016887,GO:0005524,GO:0016020	Cre16.g655450.t1.1	g15845.t1		AT1G66950.1	ATPDR11,PDR11	pleiotropic drug resistance 11	LOC_Os11g37700.1		pleiotropic drug resistance protein, putative, expressed
33731464	Brdisv1ABR21000025m.g	Brdisv1ABR21000025m	Brdisv1ABR21000025m.p	PF02798	PTHR11260,PTHR11260:SF220	KOG0867	2.5.1.18	K00799	GO:0005515	Cre05.g247550.t1.2	g5181.t1,Cre05.g247550.t1.1,GST7		AT5G41210.1	ATGSTT1,GST10,GSTT1	glutathione S-transferase THETA 1	LOC_Os11g37730.1		glutathione S-transferase, N-terminal domain containing protein, expressed
33731465	Brdisv1ABR21000025m.g	Brdisv1ABR21000026m	Brdisv1ABR21000026m.p	PF02798	PTHR11260,PTHR11260:SF220	KOG0867	2.5.1.18	K00799	GO:0005515	Cre05.g247550.t1.2	g5181.t1,Cre05.g247550.t1.1,GST7		AT5G41210.1	ATGSTT1,GST10,GSTT1	glutathione S-transferase THETA 1	LOC_Os11g37730.1		glutathione S-transferase, N-terminal domain containing protein, expressed
33731283	Brdisv1ABR21000027m.g	Brdisv1ABR21000027m	Brdisv1ABR21000027m.p	PF00395	PTHR33740,PTHR33740:SF3								AT5G23890.1			LOC_Os03g64400.1		oxidoreductase/ transition metal ion binding protein, putative, expressed
33726832	Brdisv1ABR21000028m.g	Brdisv1ABR21000028m	Brdisv1ABR21000028m.p		PTHR33870,PTHR33870:SF1								AT5G17910.1			LOC_Os07g28920.1		expressed protein
33732199	Brdisv1ABR21000029m.g	Brdisv1ABR21000029m	Brdisv1ABR21000029m.p		PTHR33698,PTHR33698:SF1					Cre02.g088500.t1.1	g1648.t1	Conserved expressed protein	AT5G41470.1		Nuclear transport factor 2 (NTF2) family protein	LOC_Os03g64380.1		expressed protein
33729363	Brdisv1ABR21000030m.g	Brdisv1ABR21000030m	Brdisv1ABR21000030m.p	PF01535,PF13041	PTHR24015,PTHR24015:SF521					Cre16.g649800.t1.1	g15723.t1,CYCR6	Cyclin-related pentatrichopeptide repeat protein	AT5G52850.1		Pentatricopeptide repeat (PPR) superfamily protein	LOC_Os03g64370.1		pentatricopeptide, putative, expressed
33723808	Brdisv1ABR21000031m.g	Brdisv1ABR21000031m	Brdisv1ABR21000031m.p	PF12937	PTHR22844,PTHR22844:SF176				GO:0005515	Cre11.g468383.t1.1	g11761.t1,Cre45.g788550.t1.1		AT4G00755.1		F-box family protein	LOC_Os03g64360.2		OsFBX113 - F-box domain containing protein, expressed
33723809	Brdisv1ABR21000031m.g	Brdisv1ABR21000032m	Brdisv1ABR21000032m.p		PTHR22844,PTHR22844:SF176					Cre11.g468383.t1.1	g11761.t1,Cre45.g788550.t1.1		AT4G00755.2		F-box family protein	LOC_Os03g64360.2		OsFBX113 - F-box domain containing protein, expressed
33726588	Brdisv1ABR21000033m.g	Brdisv1ABR21000033m	Brdisv1ABR21000033m.p	PF12776	PTHR31704,PTHR31704:SF14								AT3G11290.1			LOC_Os12g10550.1		transposon protein, putative, CACTA, En/Spm sub-class, expressed
33732477	Brdisv1ABR21000039m.g	Brdisv1ABR21000035m	Brdisv1ABR21000035m.p	PF03194	PTHR12375,PTHR12375:SF18	KOG0796			GO:0006376,GO:0005685,GO:0003729	Cre14.g621300.t2.1	g14973.t1		AT5G51410.3		LUC7 N_terminus domain-containing protein	LOC_Os07g27300.1		RNA-binding protein Luc7-like, putative, expressed
33732478	Brdisv1ABR21000039m.g	Brdisv1ABR21000036m	Brdisv1ABR21000036m.p	PF03194	PTHR12375,PTHR12375:SF18	KOG0796			GO:0006376,GO:0005685,GO:0003729	Cre14.g621300.t2.1	g14973.t1		AT5G51410.3		LUC7 N_terminus domain-containing protein	LOC_Os07g27300.1		RNA-binding protein Luc7-like, putative, expressed
33732476	Brdisv1ABR21000039m.g	Brdisv1ABR21000037m	Brdisv1ABR21000037m.p	PF03194	PTHR12375,PTHR12375:SF18	KOG0796			GO:0006376,GO:0005685,GO:0003729	Cre14.g621300.t2.1	g14973.t1		AT5G51410.3		LUC7 N_terminus domain-containing protein	LOC_Os07g27300.1		RNA-binding protein Luc7-like, putative, expressed
33732475	Brdisv1ABR21000039m.g	Brdisv1ABR21000038m	Brdisv1ABR21000038m.p	PF03194	PTHR12375,PTHR12375:SF18	KOG0796			GO:0006376,GO:0005685,GO:0003729	Cre14.g621300.t2.1	g14973.t1		AT5G51410.3		LUC7 N_terminus domain-containing protein	LOC_Os07g27300.2		RNA-binding protein Luc7-like, putative, expressed
33732474	Brdisv1ABR21000039m.g	Brdisv1ABR21000039m	Brdisv1ABR21000039m.p	PF03194	PTHR12375,PTHR12375:SF18	KOG0796			GO:0006376,GO:0005685,GO:0003729	Cre14.g621300.t2.1	g14973.t1		AT5G51410.1		LUC7 N_terminus domain-containing protein	LOC_Os07g27300.2		RNA-binding protein Luc7-like, putative, expressed
33731705	Brdisv1ABR21000042m.g	Brdisv1ABR21000040m	Brdisv1ABR21000040m.p	PF00076	PTHR24012,PTHR24012:SF362	KOG0117			GO:0003676	Cre03.g169150.t1.2	g3482.t2,Cre03.g169150.t1.1		AT2G44710.1		RNA-binding (RRM/RBD/RNP motifs) family protein	LOC_Os04g45930.1		RNA recognition motif containing protein, expressed
33731703	Brdisv1ABR21000042m.g	Brdisv1ABR21000041m	Brdisv1ABR21000041m.p	PF00076	PTHR24012,PTHR24012:SF362	KOG0117			GO:0003676	Cre03.g169150.t1.2	g3482.t2,Cre03.g169150.t1.1		AT2G44710.1		RNA-binding (RRM/RBD/RNP motifs) family protein	LOC_Os04g45930.3		RNA recognition motif containing protein, expressed
33731702	Brdisv1ABR21000042m.g	Brdisv1ABR21000042m	Brdisv1ABR21000042m.p	PF00076	PTHR24012,PTHR24012:SF362	KOG0117			GO:0003676	Cre03.g169150.t1.2	g3482.t2,Cre03.g169150.t1.1		AT2G44710.1		RNA-binding (RRM/RBD/RNP motifs) family protein	LOC_Os04g45930.3		RNA recognition motif containing protein, expressed
33731704	Brdisv1ABR21000042m.g	Brdisv1ABR21000043m	Brdisv1ABR21000043m.p	PF00076	PTHR24012,PTHR24012:SF362	KOG0117			GO:0003676	Cre03.g169150.t1.2	g3482.t2,Cre03.g169150.t1.1		AT2G44710.1		RNA-binding (RRM/RBD/RNP motifs) family protein	LOC_Os04g45930.2		RNA recognition motif containing protein, expressed
33726538	Brdisv1ABR21000045m.g	Brdisv1ABR21000044m	Brdisv1ABR21000044m.p	PF00581,PF12368	PTHR22778,PTHR22778:SF18	KOG1530				Cre06.g304600.t1.2	g7051.t1,Cre06.g304600.t1.1		AT1G17850.2		Rhodanese/Cell cycle control phosphatase superfamily protein	LOC_Os03g64350.1		rhodanese-like domain containing protein, putative, expressed
33726535	Brdisv1ABR21000045m.g	Brdisv1ABR21000045m	Brdisv1ABR21000045m.p	PF00581,PF12368	PTHR22778,PTHR22778:SF18	KOG1530				Cre06.g304600.t1.2	g7051.t1,Cre06.g304600.t1.1		AT1G17850.2		Rhodanese/Cell cycle control phosphatase superfamily protein	LOC_Os03g64350.1		rhodanese-like domain containing protein, putative, expressed
33726536	Brdisv1ABR21000045m.g	Brdisv1ABR21000046m	Brdisv1ABR21000046m.p	PF00581,PF12368	PTHR22778,PTHR22778:SF18	KOG1530				Cre06.g304600.t1.2	g7051.t1,Cre06.g304600.t1.1		AT1G17850.2		Rhodanese/Cell cycle control phosphatase superfamily protein	LOC_Os03g64350.1		rhodanese-like domain containing protein, putative, expressed
33726537	Brdisv1ABR21000045m.g	Brdisv1ABR21000047m	Brdisv1ABR21000047m.p	PF00581,PF12368	PTHR22778,PTHR22778:SF18	KOG1530				Cre06.g304600.t1.2	g7051.t1,Cre06.g304600.t1.1		AT1G17850.2		Rhodanese/Cell cycle control phosphatase superfamily protein	LOC_Os03g64350.1		rhodanese-like domain containing protein, putative, expressed
33726539	Brdisv1ABR21000045m.g	Brdisv1ABR21000048m	Brdisv1ABR21000048m.p	PF00581,PF12368	PTHR22778,PTHR22778:SF18	KOG1530				Cre06.g304600.t1.2	g7051.t1,Cre06.g304600.t1.1		AT1G17850.2		Rhodanese/Cell cycle control phosphatase superfamily protein	LOC_Os03g64350.1		rhodanese-like domain containing protein, putative, expressed
33726540	Brdisv1ABR21000045m.g	Brdisv1ABR21000049m	Brdisv1ABR21000049m.p	PF00581,PF12368	PTHR22778,PTHR22778:SF18	KOG1530				Cre06.g304600.t1.2	g7051.t1,Cre06.g304600.t1.1		AT1G17850.2		Rhodanese/Cell cycle control phosphatase superfamily protein	LOC_Os03g64350.1		rhodanese-like domain containing protein, putative, expressed
33726334	Brdisv1ABR21000050m.g	Brdisv1ABR21000050m	Brdisv1ABR21000050m.p	PF00403	PTHR22814,PTHR22814:SF51	KOG1603			GO:0046872,GO:0030001				AT5G24580.1		Heavy metal transport/detoxification superfamily protein 	LOC_Os03g64340.1		heavy metal-associated domain containing protein, expressed
33723890	Brdisv1ABR21000051m.g	Brdisv1ABR21000051m	Brdisv1ABR21000051m.p	PF00230	PTHR19139,PTHR19139:SF163	KOG0223		K09872	GO:0016020,GO:0006810,GO:0005215	Cre12.g549300.t1.2	g13562.t1,Cre12.g549300.t1.1,MIP1	Aquaporin, glycerol transport activity	AT3G54820.1	PIP2;5,PIP2D	plasma membrane intrinsic protein 2;5	LOC_Os02g41860.2		aquaporin protein, putative, expressed
33731485	Brdisv1ABR21000053m.g	Brdisv1ABR21000052m	Brdisv1ABR21000052m.p		PTHR31008,PTHR31008:SF0	KOG2398							AT5G43310.2		COP1-interacting protein-related	LOC_Os03g64320.1		expressed protein
33731484	Brdisv1ABR21000053m.g	Brdisv1ABR21000053m	Brdisv1ABR21000053m.p		PTHR31008,PTHR31008:SF0	KOG2398							AT5G43310.2		COP1-interacting protein-related	LOC_Os03g64320.1		expressed protein
33731486	Brdisv1ABR21000053m.g	Brdisv1ABR21000054m	Brdisv1ABR21000054m.p		PTHR31008,PTHR31008:SF0	KOG2398							AT5G43310.2		COP1-interacting protein-related	LOC_Os03g64320.1		expressed protein
33724153	Brdisv1ABR21000055m.g	Brdisv1ABR21000055m	Brdisv1ABR21000055m.p													LOC_Os03g64310.1		expressed protein
33736143	Brdisv1ABR21000056m.g	Brdisv1ABR21000056m	Brdisv1ABR21000056m.p	PF08513,PF00400	PTHR22847,PTHR22847:SF429	KOG0266			GO:0005515	Cre10.g438700.t1.1	g10805.t1		AT2G32700.6	LUH	LEUNIG_homolog	LOC_Os03g64300.1		THION30 - Plant thionin family protein precursor, expressed
33736144	Brdisv1ABR21000056m.g	Brdisv1ABR21000057m	Brdisv1ABR21000057m.p	PF08513,PF00400	PTHR22847,PTHR22847:SF429	KOG0266			GO:0005515	Cre10.g438700.t1.1	g10805.t1		AT2G32700.6	LUH	LEUNIG_homolog	LOC_Os03g64300.1		THION30 - Plant thionin family protein precursor, expressed
33732262	Brdisv1ABR21000058m.g	Brdisv1ABR21000058m	Brdisv1ABR21000058m.p	PF00564,PF07714	PTHR31066,PTHR31066:SF7	KOG0192	2.7.11.1		GO:0005515,GO:0006468,GO:0004672	Cre02.g095129.t1.1	g1902.t1,Cre11.g473650.t1.1,Cre11.g473650.t1.2		AT1G79570.1		Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain	LOC_Os07g25680.1		protein kinase domain containing protein, expressed
33729573	Brdisv1ABR21000060m.g	Brdisv1ABR21000059m	Brdisv1ABR21000059m.p	PF00743	PTHR23023,PTHR23023:SF145	KOG1399	1.14.13.168	K11816	GO:0055114,GO:0050661,GO:0050660,GO:0004499	Cre06.g298550.t1.1	g6906.t2,FMO7	Flavin-containing monooxygenase	AT4G28720.1	YUC8	Flavin-binding monooxygenase family protein	LOC_Os07g25540.1		flavin monooxygenase, putative, expressed
33729572	Brdisv1ABR21000060m.g	Brdisv1ABR21000060m	Brdisv1ABR21000060m.p	PF00743	PTHR23023,PTHR23023:SF145	KOG1399	1.14.13.168	K11816	GO:0055114,GO:0050661,GO:0050660,GO:0004499	Cre06.g298550.t1.1	g6906.t2,FMO7	Flavin-containing monooxygenase	AT4G28720.1	YUC8	Flavin-binding monooxygenase family protein	LOC_Os07g25540.1		flavin monooxygenase, putative, expressed
33731845	Brdisv1ABR21000061m.g	Brdisv1ABR21000061m	Brdisv1ABR21000061m.p	PF05512	PTHR33294,PTHR33294:SF5								AT1G04560.1		AWPM-19-like family protein	LOC_Os07g24000.1		AWPM-19-like membrane family protein, putative, expressed
33727186	Brdisv1ABR21000062m.g	Brdisv1ABR21000062m	Brdisv1ABR21000062m.p	PF02736,PF00612,PF01843,PF00063	PTHR13140,PTHR13140:SF382		3.6.4.1	K10357	GO:0016459,GO:0005524,GO:0003774,GO:0005515	Cre16.g658650.t1.1	g15911.t1,MYO1	Myosin heavy chain, class XI	AT1G04160.1	ATXIB,XI-8,XI-B,XIB	myosin XI B	LOC_Os03g64290.1		myosin, putative, expressed
33727187	Brdisv1ABR21000062m.g	Brdisv1ABR21000063m	Brdisv1ABR21000063m.p	PF02736,PF00612,PF00063	PTHR13140,PTHR13140:SF382		3.6.4.1		GO:0016459,GO:0005524,GO:0003774,GO:0005515	Cre16.g658650.t1.1	g15911.t1,MYO1	Myosin heavy chain, class XI	AT1G04160.1	ATXIB,XI-8,XI-B,XIB	myosin XI B	LOC_Os03g64290.1		myosin, putative, expressed
33727188	Brdisv1ABR21000062m.g	Brdisv1ABR21000064m	Brdisv1ABR21000064m.p	PF00612,PF00063	PTHR13140,PTHR13140:SF382		3.6.4.1		GO:0005515,GO:0016459,GO:0005524,GO:0003774	Cre16.g658650.t1.1	g15911.t1,MYO1	Myosin heavy chain, class XI	AT1G04160.1	ATXIB,XI-8,XI-B,XIB	myosin XI B	LOC_Os03g64290.1		myosin, putative, expressed
33732561	Brdisv1ABR21000065m.g	Brdisv1ABR21000065m	Brdisv1ABR21000065m.p	PF00179	PTHR24067,PTHR24067:SF141	KOG0416	6.3.2.19	K10576		Cre01.g027200.t1.2	g622.t1,Cre01.g027200.t1.1,UBC12		AT1G63800.1	UBC5	ubiquitin-conjugating enzyme 5	LOC_Os10g31000.1		ubiquitin-conjugating enzyme, putative, expressed
33732562	Brdisv1ABR21000065m.g	Brdisv1ABR21000066m	Brdisv1ABR21000066m.p	PF00179	PTHR24067,PTHR24067:SF141	KOG0416	6.3.2.19			Cre01.g027200.t1.2	g622.t1,Cre01.g027200.t1.1,UBC12		AT1G63800.1	UBC5	ubiquitin-conjugating enzyme 5	LOC_Os10g31000.1		ubiquitin-conjugating enzyme, putative, expressed
33732054	Brdisv1ABR21000067m.g	Brdisv1ABR21000067m	Brdisv1ABR21000067m.p															
33729138	Brdisv1ABR21000069m.g	Brdisv1ABR21000068m	Brdisv1ABR21000068m.p															
33729137	Brdisv1ABR21000069m.g	Brdisv1ABR21000069m	Brdisv1ABR21000069m.p															
33726302	Brdisv1ABR21000070m.g	Brdisv1ABR21000070m	Brdisv1ABR21000070m.p	PF00892	PTHR31218,PTHR31218:SF26				GO:0016021,GO:0016020,GO:0022857				AT5G07050.1		nodulin MtN21 /EamA-like transporter family protein	LOC_Os08g31130.1		integral membrane protein DUF6 containing protein, expressed
33724238	Brdisv1ABR21000071m.g	Brdisv1ABR21000071m	Brdisv1ABR21000071m.p	PF00847	PTHR31190,PTHR31190:SF3			K14516	GO:0006355,GO:0003700	Cre07.g353500.t1.1	g8222.t1	Putative AP2 domain transcription factor	AT3G23240.1	ATERF1,ERF1	ethylene response factor 1	LOC_Os03g64260.1		AP2 domain containing protein, expressed
33732418	Brdisv1ABR21000072m.g	Brdisv1ABR21000072m	Brdisv1ABR21000072m.p	PF04266	PTHR12963					Cre16.g655100.t1.1	g15836.t1		AT2G20410.1		RNA-binding ASCH domain protein	LOC_Os03g64250.2		expressed protein
33732419	Brdisv1ABR21000072m.g	Brdisv1ABR21000073m	Brdisv1ABR21000073m.p	PF04266	PTHR12963					Cre16.g655100.t1.1	g15836.t1		AT2G20410.1		RNA-binding ASCH domain protein	LOC_Os03g64250.2		expressed protein
33726338	Brdisv1ABR21000074m.g	Brdisv1ABR21000074m	Brdisv1ABR21000074m.p	PF16891,PF00149	PTHR11668,PTHR11668:SF280	KOG0374	3.1.3.16	K06269	GO:0016787	Cre06.g292550.t1.2	g6778.t1,Cre06.g292550.t1.1,PP1A,PP1C,PPP25	Serine/threonine protein phosphatase, metallo-dependent phosphatase	AT2G29400.1	PP1-AT,TOPP1	type one protein phosphatase 1	LOC_Os03g16110.3		Ser/Thr protein phosphatase family protein, putative, expressed
33730958	Brdisv1ABR21000078m.g	Brdisv1ABR21000075m	Brdisv1ABR21000075m.p	PF07690	PTHR24064,PTHR24064:SF274		3.6.3.27	K08176	GO:0055085,GO:0016021	Cre16.g686800.t1.2	g16356.t1,Cre16.g686800.t1.1,PTA2	Proton/phosphate symporter, splice variant b	AT3G54700.1	PHT1;7	phosphate transporter 1;7	LOC_Os04g10750.1		inorganic phosphate transporter, putative, expressed
33730961	Brdisv1ABR21000078m.g	Brdisv1ABR21000076m	Brdisv1ABR21000076m.p	PF07690	PTHR24064,PTHR24064:SF274		3.6.3.27	K08176	GO:0055085,GO:0016021	Cre16.g686800.t1.2	g16356.t1,Cre16.g686800.t1.1,PTA2	Proton/phosphate symporter, splice variant b	AT3G54700.1	PHT1;7	phosphate transporter 1;7	LOC_Os04g10750.3		inorganic phosphate transporter, putative, expressed
33730960	Brdisv1ABR21000078m.g	Brdisv1ABR21000077m	Brdisv1ABR21000077m.p	PF07690	PTHR24064,PTHR24064:SF274		3.6.3.27	K08176	GO:0055085,GO:0016021	Cre16.g686800.t1.2	g16356.t1,Cre16.g686800.t1.1,PTA2	Proton/phosphate symporter, splice variant b	AT3G54700.1	PHT1;7	phosphate transporter 1;7	LOC_Os04g10750.2		inorganic phosphate transporter, putative, expressed
33730957	Brdisv1ABR21000078m.g	Brdisv1ABR21000078m	Brdisv1ABR21000078m.p	PF07690	PTHR24064,PTHR24064:SF274		3.6.3.27	K08176	GO:0055085,GO:0016021	Cre16.g686800.t1.2	g16356.t1,Cre16.g686800.t1.1,PTA2	Proton/phosphate symporter, splice variant b	AT3G54700.1	PHT1;7	phosphate transporter 1;7	LOC_Os04g10750.1		inorganic phosphate transporter, putative, expressed
33730959	Brdisv1ABR21000078m.g	Brdisv1ABR21000079m	Brdisv1ABR21000079m.p	PF07690	PTHR24064,PTHR24064:SF274		3.6.3.27	K08176	GO:0055085,GO:0016021	Cre16.g686800.t1.2	g16356.t1,Cre16.g686800.t1.1,PTA2	Proton/phosphate symporter, splice variant b	AT3G54700.1	PHT1;7	phosphate transporter 1;7	LOC_Os04g10750.2		inorganic phosphate transporter, putative, expressed
33730962	Brdisv1ABR21000078m.g	Brdisv1ABR21000080m	Brdisv1ABR21000080m.p	PF07690	PTHR24064,PTHR24064:SF274		3.6.3.27	K08176	GO:0055085,GO:0016021	Cre16.g686800.t1.2	g16356.t1,Cre16.g686800.t1.1,PTA2	Proton/phosphate symporter, splice variant b	AT3G54700.1	PHT1;7	phosphate transporter 1;7	LOC_Os04g10750.2		inorganic phosphate transporter, putative, expressed
33732173	Brdisv1ABR21000084m.g	Brdisv1ABR21000081m	Brdisv1ABR21000081m.p	PF14389,PF04784	PTHR23054,PTHR23054:SF16					Cre06.g278183.t1.1	g6326.t1,Cre13.g597450.t1.1,Cre13.g597450.t1.2		AT5G60720.1		Protein of unknown function, DUF547	LOC_Os03g64230.1		expressed protein
33732172	Brdisv1ABR21000084m.g	Brdisv1ABR21000082m	Brdisv1ABR21000082m.p	PF14389,PF04784	PTHR23054,PTHR23054:SF16					Cre06.g278183.t1.1	g6326.t1,Cre13.g597450.t1.1,Cre13.g597450.t1.2		AT5G60720.1		Protein of unknown function, DUF547	LOC_Os03g64230.1		expressed protein
33732171	Brdisv1ABR21000084m.g	Brdisv1ABR21000083m	Brdisv1ABR21000083m.p	PF14389,PF04784	PTHR23054,PTHR23054:SF16					Cre06.g278183.t1.1	g6326.t1,Cre13.g597450.t1.1,Cre13.g597450.t1.2		AT5G60720.1		Protein of unknown function, DUF547	LOC_Os03g64230.1		expressed protein
33732170	Brdisv1ABR21000084m.g	Brdisv1ABR21000084m	Brdisv1ABR21000084m.p	PF14389,PF04784	PTHR23054,PTHR23054:SF16					Cre06.g278183.t1.1	g6326.t1,Cre13.g597450.t1.1,Cre13.g597450.t1.2		AT5G60720.1		Protein of unknown function, DUF547	LOC_Os03g64230.1		expressed protein
